cache_key,postal_guess,country,coords,lat,lon,input_city,resolved_city,display_name,query_used,validated,low_confidence,timestamp,status,city_similarity,coords_cluster_count,flag_city_mismatch,flag_clustered_coords,flag_low_confidence,flag_not_validated,flag_failed,suspect_score
1200679_pt,1200679,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA (LISBOA ),Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1200-679', 'city': 'LISBOA (LISBOA )', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:45:58.843121,OK,0.5454545454545454,10,True,True,True,False,False,7
1749024_pt,1749024,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA (LISBOA ),Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1749-024', 'city': 'LISBOA (LISBOA )', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:47:30.397158,OK,0.5454545454545454,10,True,True,True,False,False,7
1070170_pt,1070170,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1070-170', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:45:36.863820,OK,1.0,10,False,True,True,False,False,5
1200235_pt,1200235,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1200-235', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:45:48.850690,OK,1.0,10,False,True,True,False,False,5
1200302_pt,1200302,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1200-302', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:45:53.841838,OK,1.0,10,False,True,True,False,False,5
1649038_pt,1649038,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1649-038', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:47:07.375273,OK,1.0,10,False,True,True,False,False,5
1749004_pt,1749004,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1749-004', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:47:25.376419,OK,1.0,10,False,True,True,False,False,5
1950256_other,1950256_other,other,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'city': 'LISBOA', 'postalcode': '195-0256'}",True,True,2026-01-14T18:47:45.384309,OK,1.0,10,False,True,True,False,False,5
1950256_pt,1950256,pt,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'postalcode': '1950-256', 'city': 'LISBOA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:47:50.379171,OK,1.0,10,False,True,True,False,False,5
19502_other,19502_other,other,"38.7077507,-9.1365919",38.7077507,-9.1365919,LISBOA,Lisboa,"Lisboa, Portugal","structured: {'city': 'LISBOA', 'postalcode': '19502'}",True,True,2026-01-14T18:47:51.396938,OK,1.0,10,False,True,True,False,False,5
11635_other,11635_other,other,"37.9755648,23.7348324",37.9755648,23.7348324,ATHENS,Αθήνα,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς","structured: {'city': 'ATHENS', 'postalcode': '11635'}",True,True,2026-01-14T18:45:41.851261,OK,0.0,2,True,False,True,False,False,5
11853_other,11853_other,other,"37.9755648,23.7348324",37.9755648,23.7348324,ATENAS,Αθήνα,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς","structured: {'city': 'ATENAS', 'postalcode': '11853'}",True,True,2026-01-14T18:45:42.869065,OK,0.0,2,True,False,True,False,False,5
2730056_pt,2730056,pt,"38.7315692,-9.2780907",38.7315692,-9.2780907,BARCARENA,Oeiras,"Barcarena, Oeiras, Lisboa, Portugal","structured: {'postalcode': '2730-056', 'city': 'BARCARENA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:50:10.780200,OK,0.13333333333333333,2,True,False,True,False,False,5
2731901_pt,2731901,pt,"38.7315692,-9.2780907",38.7315692,-9.2780907,BARCARENA,Oeiras,"Barcarena, Oeiras, Lisboa, Portugal","structured: {'postalcode': '2731-901', 'city': 'BARCARENA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:50:14.719353,OK,0.13333333333333333,2,True,False,True,False,False,5
4415215_pt,4415215,pt,"41.064143,-8.5572235",41.064143,-8.5572235,PEDROSO,Vila Nova de Gaia,"Pedroso, Vila Nova de Gaia, Porto, Portugal","structured: {'postalcode': '4415-215', 'city': 'PEDROSO', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:56:40.193762,OK,0.08333333333333333,1,True,False,True,False,False,5
2695722_pt,2695722,pt,"38.8238905,-9.0931276",38.8238905,-9.0931276,S. João da Talha,Loures,"2695-722, Santa Iria de Azoia, São João da Talha e Bobadela, Loures, Lisboa, Portugal","free-text: 2695-722, Portugal (country=pt)",True,True,2026-01-14T18:49:55.708695,OK,0.09090909090909091,1,True,False,True,False,False,5
2950685_pt,2950685,pt,"38.5674568,-8.9418673",38.5674568,-8.9418673,QUINTA DO ANJO (QUINTA DO ANJO ),Palmela,"Quinta do Anjo, Palmela, Setúbal, Portugal","structured: {'postalcode': '2950-685', 'city': 'QUINTA DO ANJO (QUINTA DO ANJO )', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:52:31.886737,OK,0.10256410256410256,1,True,False,True,False,False,5
2805_es,2805,es,"42.0571009,-0.3056778",42.0571009,-0.3056778,Almada,Argavieso,"La Almada, Argavieso, Hoya de Huesca / Plana de Uesca, Huesca, Aragón, 22135, España","INCOMPLETE_POSTAL: city fallback → Almada, Spain",True,True,2026-01-14T18:50:46.643271,OK,0.26666666666666666,1,True,False,True,False,False,5
3860071_pt,3860071,pt,"40.8062105,-8.5729444",40.8062105,-8.5729444,AVANCA,Estarreja,"Avanca, Estarreja, Aveiro, Portugal","structured: {'postalcode': '3860-071', 'city': 'AVANCA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:55:37.132686,OK,0.26666666666666666,1,True,False,True,False,False,5
1300125_pt,1300125,pt,"38.7121892,-9.1754782",38.7121892,-9.1754782,MONSANTO,Lisboa,"1300-125, Alcântara, Lisboa, Portugal","free-text: 1300-125, Portugal (country=pt)",True,True,2026-01-14T18:46:08.814795,OK,0.2857142857142857,1,True,False,True,False,False,5
4785684_pt,4785684,pt,"41.3307091,-8.5663386",41.3307091,-8.5663386,TROFA (SANTIAGO DO BOUGADO ),Trofa,"4785-684, Bougado (São Martinho e Santiago), Trofa, Porto, Portugal","free-text: 4785-684, Portugal (country=pt)",True,True,2026-01-14T18:58:19.288207,OK,0.30303030303030304,1,True,False,True,False,False,5
44424_es,44424,es,"42.5194761,-1.3632359",42.5194761,-1.3632359,SARRION,Cáseda,"44424, Carretera Venta de Judas - Aibar - Carcastillo, Kaseda, Cáseda, Zangozerria, Navarra, Navarra / Nafarroa, España","free-text: 44424, Spain (country=es)",True,True,2026-01-14T18:56:51.269272,OK,0.3076923076923077,1,True,False,True,False,False,5
9000390_pt,9000390,pt,"38.5631846,-9.0641944",38.5631846,-9.0641944,Funchal,Seixal,"Lote 390, Fernão Ferro, Seixal, Setúbal, Portugal",free-text: 9000-390 (country=pt),True,True,2026-01-14T18:59:33.878554,OK,0.3076923076923077,1,True,False,True,False,False,5
4410308_pt,4410308,pt,"41.9384215,-6.6168826",41.9384215,-6.6168826,Vila Nova de Gaia,Bragança,"EN 308, Aveleda e Rio de Onor, Bragança, Portugal",free-text: 4410-308 (country=pt),True,True,2026-01-14T18:56:36.494156,OK,0.32,1,True,False,True,False,False,5
5000801_pt,5000801,pt,"38.8138165,-9.2257897",38.8138165,-9.2257897,VILA REAL,Odivelas,"Depot Caneças, Bairro dos CTT, Ramada e Caneças, Odivelas, Lisboa, Portugal",free-text: 5000-801 (country=pt),True,True,2026-01-14T18:58:42.363275,OK,0.35294117647058826,1,True,False,True,False,False,5
1495165_pt,1495165,pt,"38.6965891,-9.2309154",38.6965891,-9.2309154,ALGÉS,Oeiras,"1495-165, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, Portugal","free-text: 1495-165, Portugal (country=pt)",True,True,2026-01-14T18:46:33.780266,OK,0.36363636363636365,1,True,False,True,False,False,5
2565187_pt,2565187,pt,"39.038382,-9.1843296",39.038382,-9.1843296,DOIS PORTOS,Torres Vedras,"Dois Portos, Torres Vedras, Lisboa, Portugal","structured: {'postalcode': '2565-187', 'city': 'DOIS PORTOS', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:49:01.688694,OK,0.4166666666666667,1,True,False,True,False,False,5
36154_es,36154,es,"42.4346635,-8.5805698",42.4346635,-8.5805698,BORA,Pontevedra,"Bora, Pontevedra, Galicia, España","free-text: 36154 BORA, Spain (country=es)",True,True,2026-01-14T18:54:54.540707,OK,0.42857142857142855,1,True,False,True,False,False,5
3800373_pt,3800373,pt,"40.6485273,-8.6281389",40.6485273,-8.6281389,ESGUEIRA,Aveiro,"Esgueira, Aveiro, Portugal","structured: {'postalcode': '3800-373', 'city': 'ESGUEIRA', 'country': 'Portugal'} (country=pt)",True,True,2026-01-14T18:55:20.064300,OK,0.42857142857142855,1,True,False,True,False,False,5
4200072_pt,4200072,pt,"41.1816511,-8.6050422",41.1816511,-8.6050422,PORTO (PORTO ),Porto,"4200-072, Paranhos, Porto, Portugal","free-text: 4200-072, Portugal (country=pt)",True,True,2026-01-14T18:56:01.109394,OK,0.5263157894736842,1,True,False,True,False,False,5
47281_es,47281,es,"41.809877,-4.6932238",41.809877,-4.6932238,CORCOS DEL VALLE,Corcos,"Corcos, Valladolid, Castilla y León, España","free-text: 47281 CORCOS DEL VALLE, Spain (country=es)",True,True,2026-01-14T18:58:01.330278,OK,0.5454545454545454,1,True,False,True,False,False,5
